Mode,System,TerminalOrDuct,ServedZone,DesignFlow_L_per_s,NominalDuctDiameter_mm,BranchOrDuctLength_m,Velocity_m_per_s,DesignNote,HealthyHomesReferenceCheck
Current Revit coordination,Supply,SD-01,Bedroom 1 diffuser,20,130,3.4,1.51,Supply terminal in current Revit schedule,N/A
Current Revit coordination,Supply,SD-02,Bedroom 2 diffuser,20,130,3.2,1.51,Supply terminal in current Revit schedule,N/A
Current Revit coordination,Supply,SG-01,Living grille,20,130,4.2,1.51,Supply terminal in current Revit schedule,N/A
Current Revit coordination,Supply,SA_main,Supply main from MVHR,60,180,5.8,2.36,Total supply schedule is 60 L/s,N/A
Current Revit coordination,Extract,EG-01,Bathroom grille,20,120,1.85,1.77,Extract terminal in current Revit schedule,Continuous-mechanical reference check only; final compliance by responsible designer
Current Revit coordination,Extract,EG-02,Kitchen / laundry grille,25,125,2.4,2.04,Extract terminal in current Revit schedule,Continuous-mechanical reference check only; separate boost check retained
Current Revit coordination,Extract,EA_main,Extract main to MVHR,45,160,4.6,2.24,Total extract schedule is 45 L/s; final balancing is open,N/A
Current Revit coordination,Outdoor intake,OA-01,External intake to MVHR,60,180,1.05,2.36,Outdoor air intake sized to supply design,N/A
Current Revit coordination,Exhaust,EX-01,MVHR exhaust to outside,45,160,1.05,2.24,Exhaust route follows current extract schedule,N/A
Boost / extractor check,Extract,Kitchen boost path,Kitchen boost,50,150,2.4,2.83,Temporary demand/boost mode; requires MVHR/fan curve and makeup-air check,Meets 50 L/s extractor-capacity point check as a review target
Boost / extractor check,Extract,Bathroom boost path,Bathroom boost,25,120,1.85,2.21,Temporary demand/boost mode; requires MVHR/fan curve and makeup-air check,Meets 25 L/s extractor-capacity point check as a review target
Boost / extractor check,Extract,Combined wet-area boost,Kitchen + bathroom + service zone,85,180,4.5,3.34,Boost extract target for pressure/acoustic review,Fan selection and noise check required
