FeatureName,Category,System,Material,Notes
"Floor_Slab_12m_x_8m","Architectural reference","House","Floor","Low-rise floor plate, 12 m x 8 m"
"Exterior_Wall_South","Wall","Architectural reference","Walls","Low wall reference segment"
"Exterior_Wall_North","Wall","Architectural reference","Walls","Low wall reference segment"
"Exterior_Wall_West","Wall","Architectural reference","Walls","Low wall reference segment"
"Exterior_Wall_East","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Living_To_Service_A","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Living_To_Service_B","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Living_Kitchen","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Kitchen_Service","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Bedroom_1","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Bath_Laundry","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Bedroom_Divider","Wall","Architectural reference","Walls","Low wall reference segment"
"Interior_Wall_Service_Divider","Wall","Architectural reference","Walls","Low wall reference segment"
"MVHR_Main_Unit_Casing","MVHR unit","Equipment","Galvanised steel","Compact MVHR/ERV unit in ceiling service zone"
"MVHR_Service_Access_Panel","MVHR unit","Equipment","Dark steel","Removable filter/service access panel"
"MVHR_Filter_Drawer_1","MVHR unit","Equipment","Dark steel","Filter cassette detail"
"MVHR_Filter_Drawer_2","MVHR unit","Equipment","Dark steel","Filter cassette detail"
"MVHR_Supply_Port","Collar/flange","Supply air - blue","Supply air - blue","Round supply outlet on MVHR unit"
"MVHR_Extract_Port","Collar/flange","Extract air - orange","Extract air - orange","Round extract inlet on MVHR unit"
"MVHR_Fresh_Air_Port","Collar/flange","Outdoor intake - green","Outdoor intake - green","Outdoor intake inlet"
"MVHR_Exhaust_Port","Collar/flange","Exhaust air - grey","Exhaust air - grey","Outdoor exhaust outlet"
"SUP_Main_Trunk_01_Unit_To_Hall","Round duct","Supply air - blue","Supply air - blue","Main supply trunk from MVHR to hallway"
"SUP_Main_Trunk_01_Unit_To_Hall_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Main_Trunk_01_Unit_To_Hall_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Main_Trunk_02_Hall_Run","Round duct","Supply air - blue","Supply air - blue","Main supply trunk along central hallway"
"SUP_Main_Trunk_02_Hall_Run_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Main_Trunk_02_Hall_Run_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Elbow_Unit_Hall","Duct fitting","Supply air - blue","Supply air - blue","90 degree elbow with inspection collar"
"SUP_Tee_Living_North","Duct fitting","Supply air - blue","Supply air - blue","T-branch to living area diffuser"
"SUP_Tee_Living_South","Duct fitting","Supply air - blue","Supply air - blue","T-branch to second living area diffuser"
"SUP_Tee_Bedroom_2","Duct fitting","Supply air - blue","Supply air - blue","T-branch to bedroom diffuser"
"SUP_Tee_Bedroom_1","Duct fitting","Supply air - blue","Supply air - blue","T-branch to bedroom diffuser"
"SUP_Branch_Living_North","Round duct","Supply air - blue","Supply air - blue","Branch to open-plan living/dining"
"SUP_Branch_Living_North_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Living_North_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Living_South","Round duct","Supply air - blue","Supply air - blue","Branch to lounge zone"
"SUP_Branch_Living_South_Start_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
"SUP_Branch_Living_South_End_Collar","Collar/flange","Supply air - blue","Supply air - blue","Joint collar"
